trailer,genre,likes_this_genre,sd_ratio,valence,arousal,will_watch,cat_will_watch,already_watched_trailer,already_watched_film
8,drama,-1,2.186250458207648,5,4,0.1,0,0,0
9,drama,-1,2.6209259228948274,3,8,0.9,1,0,0
10,history,0,2.4997680044729997,5,4,0.0,0,0,0
11,history,0,2.100948690848805,5,3,0.1,0,0,0
12,history,0,2.770897466347116,7,6,0.9,1,0,0
13,horror,1,2.449888033842313,5,6,0.7,1,0,0
14,horror,1,2.678862272386792,5,7,0.5,1,0,0
15,horror,1,2.3595683879220024,5,7,0.6,1,0,0
16,romance,1,2.4357840238138637,4,6,0.6,1,0,0
17,romance,1,2.11390034072281,7,6,0.5,1,0,0
18,romance,1,1.8606676896391048,5,6,0.4,0,0,0
19,scifi,1,2.2218295601624085,7,6,0.7,1,0,0
20,scifi,1,2.4183876126740484,6,6,0.5,1,0,0
21,scifi,1,2.6263712276522777,6,8,0.8,1,0,0
1,action,1,1.2874177238177336,6,5,0.1,0,0,0
2,action,1,1.5395374847147236,9,8,0.8,1,0,0
3,action,1,1.6412662511348068,8,6,0.1,0,1,0
4,comedy,-1,2.239904521718575,9,7,0.4,0,0,0
5,comedy,-1,2.324632041601972,9,8,1.0,1,0,0
6,comedy,-1,1.9660192781141423,6,6,0.1,0,0,0
7,drama,1,2.2715632692830208,4,5,1.0,1,0,0
8,drama,1,1.908604998798315,5,2,0.0,0,0,0
9,drama,1,1.8997113996668047,2,1,1.0,1,0,0
10,history,1,1.831864220067437,7,6,0.3,0,0,0
11,history,1,1.8356977697365495,5,1,1.0,1,0,0
12,history,1,2.6373461965883087,6,6,0.7,1,0,0
13,horror,-1,1.0998683588319884,2,4,0.0,0,0,0
14,horror,-1,2.410537372027225,2,4,0.0,0,0,0
15,horror,-1,2.6884906475422565,2,3,0.0,0,0,0
16,romance,1,1.1164147621127647,5,3,0.9,1,0,0
17,romance,1,2.069481820778232,8,7,0.5,1,0,0
18,romance,1,1.839412447893373,5,2,0.1,0,0,0
19,scifi,1,1.8226644648565804,9,8,1.0,1,1,1
20,scifi,1,2.010616621541349,5,2,0.2,0,0,0
21,scifi,1,2.138417131492874,6,2,1.0,1,0,0
1,action,-1,1.6532675728616848,5,5,0.0,0,1,0
2,action,-1,1.6405890000114545,7,5,0.2,0,0,0
3,action,-1,1.330645062068064,7,5,1.0,1,0,0
4,comedy,1,1.7913050154612498,9,5,1.0,1,0,0
5,comedy,1,1.574439298347477,9,5,1.0,1,0,0
6,comedy,1,1.2715966605493738,6,4,0.3,0,0,0
7,drama,0,1.6411391768389925,3,2,0.3,0,0,0
8,drama,0,1.5180194331533097,4,6,0.9,1,0,0
9,drama,0,1.475565862476002,2,6,0.8,1,0,0
10,history,-1,1.3987900660312726,7,2,0.0,0,0,0
11,history,-1,1.3481254015838071,8,1,0.3,0,0,0
12,history,-1,1.897792421424694,7,9,1.0,1,0,0
13,horror,1,1.7063403952415397,2,7,0.6,1,0,0
14,horror,1,1.8069253961159792,5,9,1.0,1,0,0
15,horror,1,1.3896474881924938,3,8,1.0,1,0,0
16,romance,1,1.5567317865996146,8,5,1.0,1,0,0
17,romance,1,1.5595546120673287,9,1,1.0,1,0,0
18,romance,1,1.3554364117374904,3,4,0.0,0,0,0
19,scifi,-1,1.92430173000466,5,5,0.0,0,0,0
20,scifi,-1,1.674676139829543,5,6,0.4,0,0,0
21,scifi,-1,1.3301685349216834,1,6,0.8,1,0,0
1,action,1,1.9420467220982076,6,2,1.0,1,0,0
2,action,1,1.3415344833588367,7,1,1.0,1,0,0
3,action,1,1.1033758280436865,7,3,1.0,1,0,0
4,comedy,-1,1.462986157398367,9,7,0.9,1,0,0
5,comedy,-1,1.286921467594669,6,2,1.0,1,0,0
